image_name,annotation_type,annotation_id,contour_idx,center_x,center_y,area,diameter,hierarchy_level,hierarchy_idx_child,hierarchy_idx_parent
1_B1_mixed_02.JPG,contour,a,1,1088,911,7211,171,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,2,881,776,19716,285,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,3,579,759,12002,209,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,4,886,531,7315,213,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,5,1458,547,3532,148,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,6,1350,518,2640,94,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,7,1265,540,3540,162,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,8,1201,435,2452,80,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,9,1024,405,9154,181,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,10,336,510,32127,378,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,11,1414,328,5186,135,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,12,1324,262,3703,158,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,13,702,252,8272,180,parent,-1,-1
1_B1_mixed_02.JPG,contour,a,14,1196,199,2493,74,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,1,1088,911,7211,171,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,2,881,776,19716,285,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,3,579,759,12002,209,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,4,886,531,7315,213,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,5,1458,547,3532,148,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,6,1350,518,2640,94,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,7,1265,540,3540,162,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,8,1201,435,2452,80,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,9,1024,405,9154,181,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,10,336,510,32127,378,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,11,1414,328,5186,135,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,12,1324,262,3703,158,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,13,702,252,8272,180,parent,-1,-1
1_B1_mixed_02.JPG,contour,b,14,1196,199,2493,74,parent,-1,-1
